name,engraf.rate
Ah Mui,18.85
Alvin,9.6
Andy,12.68
Archie,14.57
Artichoke,10.53
Audet,15.48
Azalea,4.41
Bo,8.71
Bosco,10.42
Bug,8.28
Bugsy,8.44
Calisto,16.09
Chandra,7.47
Charlie,8.68
Chase,10.37
Chauncey,17.74
Chaz,9.88
Chelsea,15.76
Choco Merrill,26.12
Christopher,18.44
Cinders,26.13
Doodie,17.63
Ender,14.41
Errol,12.07
Fluffy,25.14
Frankie,23.4
Goldy,9.09
Hershey,5.85
Isis,13.26
Jackpot,4.54
Kalo,8.85
Keilana,4.85
Klaus,9.58
Kweetie,16.38
Lada,7.47
Leonidas,11.61
Lola,21.72
Mac,14.95
Magdalina,10.67
Mia,16.19
Miette,15.11
Mintie,11.31
Misha,9.93
Mitsu,10.4
Morrigan,6.03
Nyssa,16.66
Oliver Twist,16.2
Pamunkey,7.72
Parker,9.33
Pearl,15.15
Poe,3.24
Princess Leia,11.25
Pussycat,21.58
Pyxie,36.56
Riceball,10.79
Spanky,19.35
Sula,21.37
Sylvester,7.27
Sylvie,13.41
Tabbytha,9.58
Tabbie,13.11
Tenga,17.86
Tequila,17.07
Thelma,5.45
Tilda,18.71
Toko,6.62
Tux,8.87
Zach,10.87
